Método,Cantidad de Iteraciones,Hora de inicio,Fecha de inicio,Hora de finalización,Tiempo de ejecución
0.083,0.083,0.066,0.051,0.0
0.208,0.525,0.112,0.344,0.841
0.322,0.218,0.501,0.354,0.335
0.571,0.647,0.312,0.74,0.081
0.627,0.572,0.684,0.162,0.023
0.066,0.066,0.07,0.085,0.004
0.07,0.071,0.066,0.058,0.003
0.075,0.075,0.066,0.047,0.002
0.079,0.079,0.066,0.035,0.002
0.083,0.083,0.066,0.051,0.0
0.291,0.768,0.133,0.499,0.8
0.322,0.218,0.501,0.354,0.335
0.83,0.944,0.443,0.8,0.122
0.627,0.572,0.684,0.162,0.023
0.677,0.55,0.294,0.56,0.056
0.29,0.414,0.142,0.482,0.119
0.718,0.247,0.371,0.406,0.52
0.44,0.699,0.335,0.211,0.491
0.635,0.405,0.146,0.397,0.566
0.291,0.768,0.133,0.499,0.8
0.459,0.303,0.733,0.519,0.527
0.83,0.944,0.443,0.8,0.122
0.911,0.828,0.8,0.226,0.034
0.856,0.692,0.376,0.788,0.092
0.353,0.513,0.17,0.688,0.2
0.831,0.273,0.474,0.635,0.8
0.499,0.806,0.426,0.327,0.8
0.728,0.455,0.172,0.617,0.8
0.263,0.669,0.126,0.564,0.8
0.366,0.248,0.642,0.559,0.748
0.86,0.978,0.472,0.8,0.15
0.707,0.644,0.804,0.244,0.047
0.61,0.498,0.313,0.824,0.134
0.262,0.372,0.148,0.726,0.294
0.831,0.273,0.474,0.635,0.8
0.499,0.806,0.426,0.327,0.8
0.728,0.455,0.172,0.617,0.8
0.263,0.669,0.126,0.564,0.8
0.366,0.248,0.642,0.559,0.748
0.717,0.814,0.42,0.888,0.169
0.707,0.644,0.804,0.244,0.047
0.61,0.498,0.313,0.824,0.134
0.262,0.372,0.148,0.726,0.294
0.415,0.158,0.305,0.565,0.8
0.261,0.403,0.277,0.299,0.8
0.366,0.24,0.127,0.549,0.8
0.135,0.276,0.092,0.448,0.8
0.249,0.177,0.473,0.505,0.807
0.517,0.585,0.333,0.866,0.181
0.456,0.418,0.62,0.225,0.05
0.201,0.174,0.162,0.625,0.152
0.177,0.24,0.121,0.65,0.319
0.197,0.098,0.199,0.481,0.876
0.137,0.192,0.183,0.26,0.871
0.177,0.129,0.099,0.468,0.884
0.135,0.276,0.092,0.448,0.8
0.154,0.119,0.315,0.435,0.844
0.329,0.369,0.242,0.783,0.189
0.255,0.236,0.43,0.2,0.052
0.05,0.054,0.096,0.498,0.156
0.112,0.14,0.097,0.555,0.335
0.018,0.049,0.102,0.385,0.925
0.035,0.019,0.097,0.215,0.916
0.022,0.038,0.073,0.375,0.938
0.048,0.014,0.064,0.292,0.906
0.052,0.056,0.101,0.294,0.877
0.088,0.092,0.106,0.555,0.197
0.039,0.041,0.148,0.147,0.053
0.05,0.054,0.096,0.498,0.156
0.048,0.04,0.067,0.366,0.35
0.018,0.049,0.102,0.385,0.925
0.035,0.019,0.097,0.215,0.916
0.022,0.038,0.073,0.375,0.938
0.048,0.014,0.064,0.292,0.906
0.028,0.041,0.033,0.226,0.88
0.016,0.009,0.058,0.43,0.198
0.039,0.041,0.148,0.147,0.053
0.07,0.085,0.019,0.271,0.159
0.035,0.02,0.058,0.275,0.352
0.053,0.01,0.2,0.214,0.971
0.092,0.056,0.001,0.134,0.957
0.065,0.098,0.044,0.209,0.989
0.026,0.096,0.053,0.165,0.942
0.018,0.035,0.2,0.164,0.878
0.016,0.009,0.058,0.43,0.198
0.104,0.108,0.0,0.101,0.053
0.2,0.0,0.009,0.182,0.159
0.031,0.014,0.053,0.192,0.352
0.053,0.01,0.2,0.214,0.971
0.092,0.056,0.001,0.134,0.957
0.2,0.019,0.041,0.145,0.997
0.031,0.016,0.053,0.117,0.946
0.018,0.035,0.2,0.164,0.878
0.106,0.1,0.014,0.219,0.197
0.104,0.108,0.0,0.101,0.053
0.2,0.0,0.009,0.182,0.159
0.031,0.014,0.053,0.192,0.352
0.072,0.027,0.114,0.102,0.976
0.01,0.2,0.2,0.102,0.962
0.2,0.019,0.041,0.145,0.997
0.031,0.016,0.053,0.117,0.946
0.02,0.036,0.147,0.111,0.872
0.032,0.022,0.014,0.141,0.195
0.029,0.035,0.2,0.083,0.053
0.054,0.098,0.021,0.063,0.157
0.034,0.019,0.051,0.122,0.35
0.072,0.027,0.114,0.102,0.976
0.112,0.008,0.091,0.065,0.956
0.051,0.102,0.047,0.06,0.994
0.05,0.102,0.057,0.054,0.938
0.029,0.042,0.105,0.076,0.863
0.032,0.022,0.014,0.141,0.195
0.116,0.0,0.077,0.063,0.053
0.018,0.019,0.035,0.03,0.156
0.041,0.03,0.052,0.076,0.347
0.082,0.053,0.056,0.045,0.961
0.112,0.008,0.091,0.065,0.956
0.015,0.026,0.052,0.037,0.986
0.059,0.026,0.059,0.038,0.929
0.04,0.049,0.076,0.054,0.852
0.106,0.103,0.033,0.042,0.191
0.116,0.0,0.077,0.063,0.053
0.001,0.2,0.049,0.009,0.155
0.049,0.042,0.054,0.048,0.343
0.082,0.053,0.056,0.045,0.961
0.01,0.108,0.036,0.048,0.938
0.015,0.026,0.052,0.037,0.986
0.059,0.026,0.059,0.038,0.929
0.05,0.055,0.058,0.042,0.84
0.032,0.028,0.047,0.02,0.189
0.047,0.009,0.04,0.057,0.053
0.002,0.141,0.062,0.001,0.154
0.056,0.052,0.057,0.033,0.339
0.088,0.067,0.039,0.028,0.938
0.01,0.108,0.036,0.048,0.938
0.124,0.105,0.062,0.02,0.964
0.071,0.106,0.065,0.032,0.906
0.058,0.06,0.05,0.039,0.827
0.032,0.028,0.047,0.02,0.189
0.017,0.025,0.025,0.056,0.053
0.002,0.141,0.062,0.001,0.154
0.061,0.06,0.061,0.029,0.335
0.005,0.07,0.042,0.031,0.925
0.126,0.005,0.032,0.05,0.913
0.059,0.031,0.067,0.024,0.951
0.073,0.032,0.068,0.037,0.893
0.067,0.066,0.052,0.046,0.801
0.107,0.106,0.07,0.011,0.185
0.012,0.041,0.024,0.058,0.053
0.015,0.085,0.072,0.003,0.153
0.066,0.068,0.068,0.038,0.327
0.005,0.07,0.042,0.031,0.925
0.126,0.005,0.032,0.05,0.913
0.059,0.031,0.067,0.024,0.951
0.073,0.032,0.068,0.037,0.893
0.067,0.066,0.052,0.046,0.801
0.034,0.032,0.076,0.018,0.183
0.02,0.054,0.031,0.062,0.053
0.031,0.054,0.077,0.011,0.152
0.066,0.068,0.068,0.038,0.327
0.101,0.071,0.056,0.046,0.897
0.031,0.127,0.049,0.06,0.885
0.003,0.107,0.073,0.041,0.923
0.07,0.105,0.07,0.052,0.865
0.068,0.066,0.061,0.059,0.775
0.034,0.032,0.076,0.018,0.183
0.044,0.066,0.05,0.069,0.053
0.046,0.041,0.079,0.022,0.151
0.066,0.068,0.07,0.053,0.319
0.023,0.068,0.063,0.054,0.883
0.014,0.062,0.058,0.065,0.871
0.005,0.032,0.073,0.05,0.909
0.066,0.03,0.069,0.057,0.851
0.066,0.065,0.064,0.063,0.762
0.105,0.105,0.078,0.036,0.179
0.055,0.067,0.058,0.07,0.053
0.056,0.038,0.078,0.033,0.15
0.065,0.065,0.069,0.058,0.315
0.023,0.068,0.063,0.054,0.883
0.012,0.017,0.065,0.068,0.857
0.005,0.032,0.073,0.05,0.909
0.066,0.03,0.069,0.057,0.851
0.064,0.064,0.066,0.065,0.749
0.03,0.03,0.075,0.044,0.177
0.055,0.067,0.058,0.07,0.053
0.062,0.041,0.075,0.041,0.149
0.065,0.065,0.069,0.058,0.315
0.103,0.063,0.07,0.063,0.855
0.012,0.017,0.065,0.068,0.857
0.018,0.2,0.071,0.057,0.895
0.06,0.105,0.065,0.063,0.823
0.062,0.063,0.067,0.066,0.736
0.03,0.03,0.075,0.044,0.177
0.068,0.066,0.067,0.069,0.053
0.065,0.047,0.071,0.047,0.148
0.063,0.061,0.065,0.062,0.307
0.027,0.061,0.07,0.065,0.841
0.032,0.119,0.072,0.069,0.829
0.046,0.05,0.067,0.063,0.867
0.059,0.03,0.063,0.064,0.809
0.062,0.063,0.067,0.066,0.736
0.105,0.105,0.068,0.056,0.173
0.068,0.066,0.067,0.069,0.053
0.066,0.053,0.068,0.051,0.147
0.063,0.061,0.065,0.062,0.307
0.027,0.061,0.07,0.065,0.841
0.046,0.051,0.072,0.068,0.815
0.058,0.014,0.065,0.064,0.853
0.059,0.03,0.063,0.064,0.809
0.061,0.062,0.066,0.065,0.71
0.03,0.03,0.065,0.06,0.171
0.069,0.064,0.068,0.065,0.053
0.066,0.058,0.066,0.054,0.146
0.062,0.06,0.062,0.062,0.299
0.105,0.06,0.067,0.066,0.813
0.059,0.006,0.071,0.066,0.801
0.058,0.014,0.065,0.064,0.853
0.06,0.105,0.062,0.063,0.781
0.061,0.062,0.065,0.064,0.697
0.03,0.03,0.065,0.06,0.171
0.067,0.063,0.067,0.063,0.053
0.064,0.063,0.063,0.057,0.144
0.062,0.06,0.061,0.062,0.295
0.03,0.06,0.065,0.065,0.799
0.059,0.006,0.071,0.066,0.801
0.07,0.123,0.062,0.063,0.825
0.061,0.03,0.062,0.062,0.767
0.061,0.062,0.065,0.064,0.697
0.105,0.105,0.062,0.064,0.167
0.067,0.063,0.067,0.063,0.053
0.064,0.063,0.063,0.057,0.144
0.062,0.06,0.061,0.062,0.295
0.03,0.06,0.065,0.065,0.799
0.073,0.118,0.067,0.062,0.773
0.071,0.057,0.061,0.062,0.811
0.061,0.03,0.062,0.062,0.767
0.061,0.062,0.064,0.063,0.684
0.03,0.03,0.061,0.064,0.165
0.065,0.062,0.066,0.061,0.053
0.063,0.064,0.062,0.058,0.143
0.062,0.06,0.061,0.062,0.291
0.105,0.06,0.062,0.063,0.771
0.074,0.05,0.065,0.06,0.759
0.07,0.012,0.061,0.061,0.797
0.062,0.105,0.062,0.06,0.739
0.061,0.062,0.062,0.061,0.66
0.03,0.03,0.061,0.064,0.165
0.062,0.062,0.064,0.059,0.053
0.062,0.064,0.062,0.059,0.141
0.062,0.06,0.061,0.062,0.283
0.03,0.06,0.061,0.062,0.757
0.072,0.005,0.063,0.058,0.745
0.07,0.012,0.061,0.061,0.797
0.062,0.03,0.062,0.059,0.726
0.061,0.062,0.061,0.06,0.648
0.105,0.105,0.061,0.062,0.161
0.061,0.062,0.063,0.058,0.053
0.062,0.064,0.062,0.059,0.14
0.062,0.06,0.061,0.062,0.279
0.03,0.06,0.061,0.062,0.757
0.072,0.005,0.063,0.058,0.745
0.066,0.118,0.061,0.059,0.769
0.062,0.03,0.062,0.059,0.726
0.061,0.062,0.061,0.06,0.648
0.03,0.03,0.061,0.061,0.159
0.061,0.062,0.063,0.058,0.053
0.062,0.064,0.062,0.059,0.14
0.062,0.06,0.061,0.062,0.279
0.105,0.06,0.061,0.06,0.73
0.066,0.118,0.062,0.057,0.719
0.064,0.05,0.061,0.058,0.755
0.062,0.105,0.062,0.057,0.7
0.061,0.062,0.061,0.058,0.624
0.03,0.03,0.061,0.061,0.159
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.138
0.062,0.06,0.061,0.062,0.271
0.03,0.06,0.061,0.059,0.717
0.063,0.05,0.062,0.057,0.706
0.062,0.005,0.061,0.057,0.741
0.062,0.03,0.062,0.056,0.687
0.061,0.062,0.061,0.057,0.613
0.105,0.105,0.061,0.059,0.155
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.137
0.062,0.06,0.061,0.062,0.267
0.03,0.06,0.061,0.059,0.717
0.061,0.005,0.062,0.057,0.693
0.062,0.005,0.061,0.057,0.741
0.062,0.03,0.062,0.056,0.687
0.061,0.062,0.061,0.057,0.613
0.03,0.03,0.061,0.058,0.153
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.137
0.062,0.06,0.061,0.062,0.267
0.105,0.06,0.061,0.057,0.691
0.061,0.005,0.062,0.057,0.693
0.061,0.118,0.061,0.056,0.715
0.062,0.105,0.062,0.055,0.663
0.061,0.062,0.061,0.056,0.591
0.03,0.03,0.061,0.058,0.153
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.135
0.062,0.06,0.061,0.062,0.259
0.03,0.06,0.061,0.056,0.678
0.06,0.118,0.062,0.057,0.668
0.061,0.05,0.061,0.056,0.702
0.062,0.03,0.062,0.055,0.651
0.061,0.062,0.061,0.056,0.591
0.105,0.105,0.061,0.057,0.149
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.135
0.062,0.06,0.061,0.062,0.259
0.03,0.06,0.061,0.056,0.678
0.06,0.05,0.062,0.057,0.656
0.061,0.005,0.061,0.056,0.689
0.062,0.03,0.062,0.055,0.651
0.061,0.062,0.061,0.056,0.569
0.03,0.03,0.061,0.057,0.147
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.133
0.062,0.06,0.061,0.062,0.251
0.105,0.06,0.061,0.055,0.654
0.06,0.005,0.062,0.057,0.644
0.061,0.005,0.061,0.056,0.689
0.062,0.105,0.062,0.055,0.627
0.061,0.062,0.061,0.056,0.558
0.03,0.03,0.061,0.057,0.147
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.132
0.062,0.06,0.061,0.062,0.247
0.03,0.06,0.061,0.055,0.642
0.06,0.005,0.062,0.057,0.644
0.061,0.118,0.061,0.056,0.664
0.062,0.03,0.062,0.055,0.616
0.061,0.062,0.061,0.056,0.558
0.105,0.105,0.061,0.057,0.143
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.132
0.062,0.06,0.061,0.062,0.247
0.03,0.06,0.061,0.055,0.642
0.06,0.118,0.062,0.057,0.62
0.061,0.05,0.061,0.056,0.652
0.062,0.03,0.062,0.055,0.616
0.061,0.062,0.061,0.056,0.548
0.03,0.03,0.061,0.057,0.141
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.131
0.062,0.06,0.061,0.062,0.243
0.105,0.06,0.061,0.055,0.618
0.06,0.05,0.062,0.057,0.609
0.061,0.005,0.061,0.056,0.64
0.062,0.105,0.062,0.055,0.594
0.061,0.062,0.061,0.056,0.528
0.03,0.03,0.061,0.057,0.141
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.129
0.062,0.06,0.061,0.062,0.235
0.03,0.06,0.061,0.055,0.607
0.06,0.005,0.062,0.057,0.598
0.061,0.005,0.061,0.056,0.64
0.062,0.03,0.062,0.055,0.583
0.061,0.062,0.061,0.056,0.518
0.105,0.105,0.061,0.057,0.137
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.128
0.062,0.06,0.061,0.062,0.231
0.03,0.06,0.061,0.055,0.607
0.06,0.005,0.062,0.057,0.598
0.061,0.118,0.061,0.056,0.616
0.062,0.03,0.062,0.055,0.583
0.061,0.062,0.061,0.056,0.518
0.03,0.03,0.061,0.057,0.135
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.128
0.062,0.06,0.061,0.062,0.231
0.105,0.06,0.061,0.055,0.585
0.06,0.118,0.062,0.057,0.576
0.061,0.05,0.061,0.056,0.605
0.062,0.105,0.062,0.055,0.561
0.061,0.062,0.061,0.056,0.498
0.03,0.03,0.061,0.057,0.135
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.126
0.062,0.06,0.061,0.062,0.223
0.03,0.06,0.061,0.055,0.574
0.06,0.05,0.062,0.057,0.565
0.061,0.005,0.061,0.056,0.594
0.062,0.03,0.062,0.055,0.551
0.061,0.062,0.061,0.056,0.489
0.105,0.105,0.061,0.057,0.131
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.125
0.062,0.06,0.061,0.062,0.219
0.03,0.06,0.061,0.055,0.574
0.06,0.005,0.062,0.057,0.555
0.061,0.005,0.061,0.056,0.594
0.062,0.03,0.062,0.055,0.551
0.061,0.062,0.061,0.056,0.489
0.03,0.03,0.061,0.057,0.129
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.125
0.062,0.06,0.061,0.062,0.219
0.105,0.06,0.061,0.055,0.553
0.06,0.005,0.062,0.057,0.555
0.061,0.118,0.061,0.056,0.572
0.062,0.105,0.062,0.055,0.531
0.061,0.062,0.061,0.056,0.471
0.03,0.03,0.061,0.057,0.129
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.123
0.062,0.06,0.061,0.062,0.211
0.03,0.06,0.061,0.055,0.543
0.06,0.118,0.062,0.057,0.535
0.061,0.05,0.061,0.056,0.561
0.062,0.03,0.062,0.055,0.521
0.061,0.062,0.061,0.056,0.471
0.105,0.105,0.061,0.057,0.125
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.123
0.062,0.06,0.061,0.062,0.211
0.03,0.06,0.061,0.055,0.543
0.06,0.05,0.062,0.057,0.525
0.061,0.005,0.061,0.056,0.551
0.062,0.03,0.062,0.055,0.521
0.061,0.062,0.061,0.056,0.453
0.03,0.03,0.061,0.057,0.123
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.121
0.062,0.06,0.061,0.062,0.203
0.105,0.06,0.061,0.055,0.523
0.06,0.005,0.062,0.057,0.515
0.061,0.005,0.061,0.056,0.551
0.062,0.105,0.062,0.055,0.501
0.061,0.062,0.061,0.056,0.444
0.03,0.03,0.061,0.057,0.123
0.06,0.062,0.062,0.057,0.053
0.062,0.064,0.062,0.059,0.12
0.062,0.06,0.061,0.062,0.199
0.03,0.06,0.061,0.055,0.513
0.06,0.005,0.062,0.057,0.515
0.061,0.118,0.061,0.056,0.531
0
2.082
1.299
0.887
0.524
0.489
0.388
0.311
0.284
0.0
1.173
0.851
0.736
0.276
0.58
0.628
1.168
0.95
1.192
1.023
0.914
0.705
0.284
0.606
0.66
1.238
1.002
1.257
1.063
1.011
0.759
0.311
0.661
0.722
1.186
0.983
1.164
1.021
1.006
0.788
0.308
0.646
0.715
1.192
0.984
1.175
1.133
1.054
0.857
0.319
0.662
0.744
1.129
0.937
1.104
1.087
1.084
0.896
0.322
0.654
0.763
1.129
0.931
1.104
1.155
1.18
0.968
0.334
0.586
0.83
0.945
0.759
0.927
0.85
0.993
0.772
0.248
0.709
0.703
1.012
1.078
1.326
1.145
0.942
0.539
0.383
0.602
0.689
0.976
0.834
1.172
0.989
0.88
0.892
0.0
0.0
0.598
1.081
0.857
1.048
0.892
0.91
0.787
0.291
0.604
0.63
1.04
1.198
1.246
1.218
0.984
0.591
0.327
0.518
0.675
1.229
0.967
1.085
1.195
1.055
0.892
0.0
0.354
0.706
1.129
1.25
0.804
1.038
1.088
0.695
0.334
0.23
0.708
1.22
1.024
1.267
1.319
1.184
0.454
0.349
0.126
0.762
1.168
1.425
1.17
1.264
1.226
0.552
0.357
0.227
0.802
0.858
1.138
1.012
1.079
1.171
0.454
0.369
0.338
0.782
1.326
1.423
1.034
1.368
1.225
0.411
0.411
0.435
0.83
1.292
1.282
0.859
1.257
1.188
0.671
0.411
0.479
0.814
1.067
1.053
0.814
1.076
1.149
0.601
0.41
0.499
0.791
1.366
0.877
1.13
1.305
1.145
0.483
0.416
0.529
0.792
1.265
1.19
1.157
1.194
1.111
0.752
0.409
0.536
0.77
1.05
1.163
1.097
1.076
1.126
0.684
0.417
0.563
0.781
1.372
1.133
1.019
1.286
1.11
0.526
0.409
0.568
0.774
1.253
0.927
1.336
1.151
1.055
0.781
0.388
0.55
0.741
1.022
1.263
1.218
1.047
1.083
0.704
0.397
0.574
0.768
1.325
1.234
1.162
1.311
1.122
0.557
0.411
0.603
0.801
1.269
1.167
1.029
1.173
1.07
0.811
0.394
0.581
0.77
1.036
0.878
1.292
1.024
1.055
0.696
0.392
0.579
0.766
1.292
1.241
1.207
1.288
1.1
0.551
0.41
0.61
0.804
1.244
1.228
1.151
1.191
1.085
0.83
0.41
0.608
0.798
1.052
1.113
0.901
1.035
1.067
0.709
0.408
0.604
0.792
1.307
0.872
1.272
1.255
1.073
0.541
0.416
0.613
0.801
1.215
1.269
1.222
1.167
1.062
0.814
0.414
0.61
0.794
1.023
1.194
1.112
1.065
1.097
0.729
0.431
0.633
0.822
1.327
1.132
0.914
1.272
1.085
0.548
0.43
0.629
0.814
1.214
0.893
1.304
1.146
1.042
0.804
0.416
0.607
0.783
1.0
1.235
1.19
1.042
1.072
0.718
0.431
0.627
0.806
1.299
1.205
1.123
1.3
1.108
0.562
0.45
0.65
0.835
1.241
1.145
0.925
1.159
1.054
0.816
0.43
0.621
0.794
1.01
0.866
1.266
1.018
1.047
0.705
0.43
0.62
0.789
1.269
1.241
1.195
1.278
1.089
0.556
0.452
0.649
0.821
1.219
1.225
1.142
1.181
1.074
0.835
0.448
0.642
0.81
1.03
1.109
0.897
1.034
1.063
0.719
0.447
0.637
0.802
1.289
0.874
1.279
1.25
1.066
0.546
0.451
0.642
0.805
1.194
1.263
1.217
1.161
1.055
0.825
0.451
0.638
0.796
1.013
1.189
1.107
1.061
1.091
0.739
0.469
0.663
0.824
1.323
1.128
0.911
1.266
1.08
0.555
0.468
0.659
0.814
1.209
0.889
1.299
1.141
1.036
0.814
0.453
0.635
0.782
0.995
1.23
1.185
0
0.0
0.276
0.284
0.311
0.308
0.319
0.322
0.334
0.248
0.383
0.0
0.291
0.327
0.0
0.23
0.126
0.227
0.338
0.411
0.411
0.41
0.416
0.409
0.417
0.409
0.388
0.397
0.411
0.394
0.392
0.41
0.41
0.408
0.416
0.414
0.431
0.43
0.416
0.431
0.45
0.43
0.43
0.452
0.448
0.447
0.451
0.451
0.469
0.468
0.453
C1,C2,C3,C4,C5
0.062,0.062,0.063,0.058,0.007
    Solución ideal
0.073
0.103
0.061
0.057
0.332
    Índice de similitud
1.141
1.036
0.814
0.453
0.635
0.782
0.995
1.23
1.185
Índice de similitud
0.453
0.635
0.782
0.814
0.995
1.036
1.141
1.185
1.23
Índice de similitud,Ranking
0.0,8
0.284,7
0.311,6
0.388,5
0.489,4
0.524,3
0.887,2
1.299,1
2.082,0
